word1,word2,count
de,la,418
qu,il,219
à,la,213
dans,la,192
de,l,145
d,un,139
sur,le,138
c,est,136
que,je,133
sur,la,131
dans,le,116
je,ne,103
d,une,102
c,était,99
et,de,97
il,avait,96
de,galais,94
la,tête,94
il,y,91
la,porte,88
à,l,84
le,grand,78
la,nuit,78
je,me,78
il,n,77
qu,elle,75
l,autre,73
et,je,72
et,la,72
tous,les,71
il,s,69
il,se,68
un,instant,67
que,j,66
que,nous,66
qu,on,66
il,ne,66
dans,les,66
jeune,fille,65
la,cour,64
je,n,63
un,peu,63
la,maison,62
y,avait,61
de,son,59
et,les,59
la,jeune,57
les,deux,57
de,sa,57
dans,l,57
la,route,56
comme,un,55
m,seurel,55
j,ai,54
dans,un,53
n,y,51
la,main,51
par,la,49
dans,une,49
grand,meaulnes,49
et,nous,48
quelqu,un,48
et,il,47
sur,les,47
les,autres,47
tandis,que,46
et,le,45
je,suis,44
que,le,44
il,était,43
j,avais,42
tout,le,42
sans,doute,42
l,on,41
avec,une,39
par,le,39
s,était,39
de,ce,39
ce,qu,38
y,a,38
près,de,38
la,voiture,38
la,classe,38
et,l,37
que,la,37
ce,que,37
qui,était,37
la,première,36
et,que,36
avec,un,36
je,l,35
la,grande,35
nous,étions,35
et,s,35
comme,une,34
de,ses,34
et,qui,34
lorsqu,il,34
et,d,33
d,abord,33
s,il,33
qui,s,33
la,plus,32
sur,l,32
de,cette,32
la,fin,32
mais,il,32
par,les,32
elle,avait,32
je,m,32
le,jeune,31
j,étais,31
la,fenêtre,31
qu,ils,31
la,petite,31
jeune,homme,30
et,se,30
que,les,30
et,des,30
au,milieu,30
le,plus,30
pas,de,30
que,meaulnes,29
une,petite,29
de,meaulnes,29
s,en,29
la,chambre,29
n,était,28
pour,la,28
à,travers,28
toutes,les,28
toute,la,28
une,grande,28
dans,sa,28
il,faut,27
de,lui,27
à,manger,27
tout,ce,27
le,chemin,27
un,petit,27
un,grand,27
vers,la,27
je,le,27
je,lui,27
de,se,27
la,salle,26
jusqu,au,26
où,il,26
mlle,de,26
des,sablonnières,26
qu,un,26
jusqu,à,26
ce,qui,26
d,autres,26
elle,ne,25
où,l,25
entre,les,25
ne,sais,25
m,de,25
salle,à,25
tout,de,25
tout,à,25
ce,fut,24
l,un,24
on,avait,24
le,soir,24
s,est,24
eh,bien,24
le,vent,24
de,ces,24
de,temps,24
n,est,24
à,ce,23
a,la,23
n,avait,23
du,bourg,23
le,temps,23
sur,une,23
au,bout,23
il,me,23
et,moi,23
tant,de,23
l,heure,23
sur,un,22
fond,de,22
de,mon,22
la,place,22
l,air,22
qu,à,22
le,jardin,22
yvonne,de,22
une,voix,22
à,demi,22
que,l,22
elle,était,22
et,j,22
de,nous,22
n,ai,21
le,monde,21
sous,les,21
nous,nous,21
le,dos,21
nous,avions,21
l,homme,21
avait,dû,21
du,bois,20
de,suite,20
dans,cette,20
ils,avaient,20
qui,ne,20
qui,se,20
mon,père,20
qui,nous,20
et,elle,20
de,moi,20
porte,de,20
à,autre,20
un,coup,20
nous,ne,20
de,s,20
il,allait,20
fin,de,20
de,sainte-agathe,20
il,est,20
la,fête,19
à,son,19
la,gare,19
quatre,heures,19
est,à,19
la,table,19
sur,son,19
jeune,femme,19
pour,le,19
qui,me,19
moi,je,19
à,un,19
temps,à,19
et,c,19
la,ferme,19
l,école,19
les,mains,19
était,le,19
dans,ce,18
ce,n,18
de,nouveau,18
qui,n,18
il,faisait,18
cette,fois,18
de,le,18
ne,pas,18
du,domaine,18
le,visage,18
était,une,18
la,campagne,18
qu,une,18
auprès,de,18
milieu,de,18
à,cette,18
on,ne,18
et,qu,18
ses,yeux,18
pour,l,18
et,ses,18
au,moment,18
avait,pas,17
la,jument,17
rien,dire,17
me,rappelle,17
d,ailleurs,17
un,des,17
où,nous,17
qui,est,17
mon,compagnon,17
la,même,17
du,grand,17
chaque,fois,17
vers,le,17
les,yeux,17
que,vous,17
assis,sur,17
par,une,17
s,arrêta,17
comme,si,17
un,qui,17
que,tout,17
avec,des,17
il,a,17
le,bohémien,17
elle,s,17
bout,de,17
il,eût,17
devant,la,17
elle,me,16
maison,de,16
dans,son,16
d,être,16
l,après-midi,16
le,seuil,16
et,me,16
nous,n,16
rien,ne,16
elle,se,16
quelque,chose,16
qui,devait,16
de,ne,16
la,rue,16
un,air,16
plus,de,16
route,de,16
et,sa,16
que,c,16
je,vous,16
pour,me,16
avait,été,16
de,m,16
était,pas,16
il,m,16
une,sorte,16
qui,avait,16
il,lui,16
meaulnes,se,16
pour,lui,16
l,ai,16
main,sur,16
était,un,16
le,domaine,16
à,peine,16
comme,s,16
